"id","order","words","nb_pages","cookies","wearables","airspace","cybersecurity","crypto_access","bitcoin","data_transmission","education","data_regulation_us","telecom_ops_fr","copyright","data_regulation_eu","bigdata","cyberdefense","cloud_security","health","research_it","citizen_freedom","websecurity","terms_use","data_regulation_fr","mobile","id_fraud","comm_traces","surveillance_fr","social_media","business_media","personal_records","surveillance_us","hacking","transports","consumer_data"
"airspace",27,"air;defense;flight;military;aircraft;army;program;force;fielding;nasa;mechanical;aviation;transportation;system;flights;navy;conference;th;community;city;corps;planning;budget",1193,10,0,0,305,21,3,0,1,2,0,1,2,22,13,9,3,32,5,1,1,0,1,3,9,0,0,312,4,242,3,0,0
"bigdata",26,"data;cloud;business;services;applications;platform;solutions;analytics;network;customers;access;infrastructure;computing;big;customer;tools;storage;companies;control;database;users;technologies;system",35447,1195,2,22,9058,1751,26,83,18,136,137,179,133,0,28,1079,259,36,129,452,661,7,261,776,94,180,14,15338,131,1519,1203,30,51
"bitcoin",21,"bitcoin;exchange;nodes;mining;maturity;workflow;bitcoins;logical;chain;cryptocurrency;gencoin;decentralized;node;cluster;supply;manufacturing;pool;aggregation;btc;crackle;cylab;samples;rev",624,18,0,3,14,1,0,12,0,0,0,0,0,26,1,13,1,4,17,2,2,0,0,13,4,0,1,186,0,26,1,7,0
"business_media",9,"technology;business;digital;development;services;marketing;research;global;finance;group;industry;president;new;media;network;strategic;planning;international;revenue;innovation;software;engineering;team",95572,6755,47,312,12195,518,186,199,401,1630,91,1157,4165,15338,297,776,756,1574,3094,421,1551,30,443,1712,476,192,426,0,962,12103,1283,197,484
"citizen_freedom",13,"public;political;people;right;speech;rights;human;issue;freedom;society;private;net;open;government;party;cannot;published;press;journalists;debate;fact;parliament;evidence",14373,105,0,5,511,26,17,27,11,171,0,344,1759,129,58,64,25,68,0,12,829,5,7,108,27,5,366,3094,293,5689,106,3,33
"cloud_security",10,"support;testing;server;linux;source;command;computer;penetration;tool;program;tutorials;machine;fixed;ssh;kerensa;chromium;burp;remote;updates;extensions;python;programs;port",12544,1145,39,9,474,1416,13,24,1,10,6,151,34,1079,35,0,5,12,64,1285,115,19,41,42,359,158,29,776,116,178,1575,5,25
"comm_traces",32,"email;name;address;domain;contact;call;account;number;register;details;phone;sent;receive;calls;mailing;messages;pay;numbers;send;company;list;message;received",3471,928,3,9,84,57,4,1,1,3,0,114,13,94,4,359,3,9,27,53,328,8,8,320,0,3,2,476,248,208,115,0,29
"consumer_data",11,"epic;facebook;google;ftc;privacy;commission;consumer;trade;complaint;recognition;fcc;company;advertising;consumers;facial;consent;business;children;tsa;telemarketing;filed;users;photos",2822,126,0,0,18,73,0,18,53,155,1,8,96,51,0,25,6,19,33,8,520,31,23,200,29,8,3,484,63,898,26,27,0
"cookies",20,"site;website;cookies;web;users;content;browser;search;add;email;google;click;link;ip;tracking;ads;experience;advertising;settings;cookie;facebook;browsing;account",26314,0,3,10,654,425,18,63,10,211,70,915,952,1195,4,1145,11,35,105,940,2559,62,108,307,928,267,113,6755,342,1955,474,9,126
"copyright",31,"service;use;agreement;copyright;property;third;party;sourcemedia;content;rights;license;subscriber;customer;responsible;applicable;services;licensed;terms;provided;website;legal;inc;damages",6521,915,0,1,149,48,0,3,7,26,0,0,608,179,1,151,4,164,344,107,475,4,33,145,114,14,0,1157,411,624,135,4,8
